id,n_estimator,mae
0,1,285894.82182052935
1,2,255278.5592855606
2,3,239983.397102073
3,4,233586.341134065
4,5,229140.11702173445
5,6,226605.240764651
6,7,222288.86255341387
7,8,220894.85762319778
8,9,216689.2180379217
9,10,215038.14009038088
10,11,215499.80235538082
11,12,214193.7072663367
12,13,212748.5603780768
13,14,212120.4504749608
14,15,211744.57434904238
15,16,211404.8000995266
16,17,211110.87766933755
17,18,210754.34192908212
18,19,210692.93028892437
19,20,210539.31081342802
20,21,209557.95840634507
21,22,209344.39103569125
22,23,208538.2052670059
23,24,207810.8239737363
24,25,208318.441154662
25,26,208198.2601855859
26,27,207878.67273304844
27,28,207777.95985999308
28,29,208040.87458087795
29,30,208115.37178210216
30,31,208413.91815144598
31,32,208510.18495899817
32,33,208692.3623722236
33,34,208775.0874830242
34,35,208640.2318247893
35,36,208168.25945139548
36,37,207732.65871118745
37,38,207741.76227528145
38,39,207661.31207971423
39,40,207602.6937709429
40,41,207579.4762797024
41,42,207370.6201448085
42,43,207397.8064424803
43,44,207163.38203113864
44,45,207365.80823060448
45,46,207394.2719666866
46,47,207296.7029020913
47,48,207378.2490188242
48,49,207527.47103087293
49,50,207650.82393003165
50,51,207626.95839248117
51,52,207691.91375801945
52,53,208004.5133364307
53,54,208111.826156831
54,55,208179.86054793067
55,56,208028.727520608
56,57,207885.26734525146
57,58,207763.108268378
58,59,207897.60986363664
59,60,207998.50467377828
60,61,207911.15725690417
61,62,207989.28947618947
62,63,207982.85240227645
63,64,207798.11770074393
64,65,207676.81672590374
65,66,207306.5735213427
66,67,207192.8190202726
67,68,207232.78456418074
68,69,207301.85666658203
69,70,207236.97267097927
70,71,206975.50776100543
71,72,206958.6616429442
72,73,206992.22221183457
73,74,207082.78698591611
74,75,207135.03499072624
75,76,206939.3032549094
76,77,207122.75374461076
77,78,207216.30424134366
78,79,207227.92832491046
79,80,207219.79084662918
80,81,207258.11898860236
81,82,207197.59707847933
82,83,207190.5674139887
83,84,207099.3726985737
84,85,207149.4701860602
85,86,207264.60080307588
86,87,207322.41704855402
87,88,207330.1582769501
88,89,207185.38467041164
89,90,207276.56151673206
90,91,207167.8871424619
91,92,207276.35109173486
92,93,207292.69505622282
93,94,207221.24144184275
94,95,207169.85611122707
95,96,207035.69096805927
96,97,207065.46512247756
97,98,206954.70889962552
98,99,206924.94454148295
99,100,206868.39967967046
100,101,206804.80925017706
101,102,206736.92556897947
102,103,206809.36626854545
103,104,206860.37891721472
104,105,206744.25222446196
105,106,206750.90922852315
106,107,206762.26630104918
107,108,206765.22140649162
108,109,206749.40200268183
109,110,206837.9219547399
110,111,206912.86979414095
111,112,206977.64860702064
112,113,206851.0071063154
113,114,206686.89141382364
114,115,206662.54618239796
115,116,206762.33805756102
116,117,206629.64914889378
117,118,206739.87756563263
118,119,206714.4822061118
119,120,206664.93597769956
120,121,206571.35794105928
121,122,206591.21583571352
122,123,206696.70015729073
123,124,206570.11089291805
124,125,206582.65100168606
125,126,206596.59951565342
126,127,206471.9867285547
127,128,206478.56399559593
128,129,206504.3211234128
129,130,206445.03940442036
130,131,206443.94711946542
131,132,206454.8966710429
132,133,206630.90519650388
133,134,206665.1093589579
134,135,206620.72315329587
135,136,206667.00372885165
136,137,206717.63534217098
137,138,206759.58617778088
138,139,206847.61227341596
139,140,206914.238128446
140,141,206875.0141471649
141,142,206850.5129549041
142,143,206858.6663545688
143,144,206903.59230507794
144,145,206817.5149686552
145,146,206898.07558360585
146,147,206827.6742197869
147,148,206842.54238218843
148,149,206740.1169746584
149,150,206765.70514827402
150,151,206726.17999735556
151,152,206716.397696596
152,153,206744.5136804486
153,154,206708.22610059252
154,155,206808.04451436998
155,156,206897.24021981782
156,157,206874.1905825592
157,158,206891.41688394715
158,159,206904.50632019126
159,160,206915.2796714529
160,161,206912.18429484149
161,162,206914.26422903757
162,163,207034.84772459397
163,164,206944.0169205922
164,165,206902.49256714166
165,166,206912.62769777456
166,167,206878.0810017392
167,168,206796.24032570768
168,169,206789.57957519032
169,170,206847.4744152694
170,171,206910.5824915259
171,172,206928.09033499818
172,173,206869.27385972015
173,174,206859.54887508522
174,175,206871.93835693528
175,176,206899.51451855386
176,177,206901.05801485275
177,178,206929.26872395468
178,179,206928.80563097558
179,180,206837.12703693984
180,181,206802.40980674123
181,182,206771.6827142629
182,183,206778.8545219475
183,184,206795.44867693825
184,185,206718.7246690032
185,186,206760.9736311769
186,187,206726.40044271984
187,188,206755.15301554665
188,189,206795.20782013328
189,190,206757.47436590685
190,191,206703.39338997082
191,192,206657.79992119703
192,193,206717.3920616758
193,194,206657.4130086668
194,195,206615.86581775645
195,196,206610.65118459932
196,197,206697.11040881925
197,198,206686.6857055027
198,199,206671.76066771048
199,200,206618.84119727486
200,201,206574.63377725877
201,202,206561.2663016353
202,203,206592.43360645542
203,204,206581.17558950878
204,205,206568.2527922523
205,206,206571.9839208794
206,207,206627.95296404127
207,208,206614.10585794313
208,209,206574.8578614255
209,210,206522.42380311646
210,211,206503.5692351558
211,212,206541.14433510284
212,213,206583.81361062592
213,214,206548.14214752888
214,215,206598.99629242893
215,216,206625.43165517703
216,217,206661.3196698403
217,218,206646.88637608485
218,219,206674.38881641833
219,220,206625.89680903347
220,221,206589.63187435406
221,222,206598.09674045953
222,223,206627.00860456502
223,224,206593.43495779464
224,225,206546.43010677389
225,226,206528.6735117814
226,227,206527.2429798298
227,228,206604.03494981682
228,229,206589.7810061899
229,230,206588.73670894743
230,231,206566.86451147098
231,232,206564.09442585325
232,233,206546.94196531808
233,234,206585.5616047575
234,235,206512.35969138253
235,236,206509.49296263294
236,237,206564.1496570773
237,238,206559.54490940738
238,239,206550.28694192934
239,240,206518.1542466249
240,241,206540.27141695473
241,242,206534.2887912897
242,243,206545.70441585468
243,244,206557.886568962
244,245,206565.33318417045
245,246,206500.75917864297
246,247,206548.80201163766
247,248,206557.98964574424
248,249,206527.60599719806
249,250,206529.56482563016
250,251,206481.09438139485
251,252,206500.9080958323
252,253,206554.81650125404
253,254,206578.5964691265
254,255,206607.18003871426
255,256,206643.24884937177
256,257,206649.6627757633
257,258,206569.62244640273
258,259,206547.5641404184
259,260,206613.47104432623
260,261,206592.00615168505
261,262,206583.309415067
262,263,206601.11877582077
263,264,206583.97859337062
264,265,206557.01047555602
265,266,206561.31123497564
266,267,206618.3263844467
267,268,206626.53514237708
268,269,206570.86429680887
269,270,206577.84232533598
270,271,206583.55088683634
271,272,206607.3907701172
272,273,206598.7953259662
273,274,206619.98313736342
274,275,206597.39837719416
275,276,206598.93352823533
276,277,206631.81303505917
277,278,206601.50803966963
278,279,206618.8945696463
279,280,206597.98545080994
280,281,206620.89740840404
281,282,206620.2953161086
282,283,206568.51886978705
283,284,206546.25906474254
284,285,206502.7628299532
285,286,206530.06357901092
286,287,206519.64432500815
287,288,206547.09520567016
288,289,206551.66529001176
289,290,206570.66918751874
290,291,206535.64992836217
291,292,206557.20126490196
292,293,206560.19949909023
293,294,206557.16551836953
294,295,206580.85939255566
295,296,206628.9323736731
296,297,206648.465849352
297,298,206630.93368036812
298,299,206668.89934037052
299,300,206637.48443668016
300,301,206657.1021401124
301,302,206610.83843893863
302,303,206614.61639836893
303,304,206667.1655780865
304,305,206655.6050179921
305,306,206682.37062155208
306,307,206736.5393015113
307,308,206737.4960623778
308,309,206721.15917300293
309,310,206714.17217294258
310,311,206755.3625166157
311,312,206747.55142701374
312,313,206756.92761428122
313,314,206810.0169057606
314,315,206791.73387997432
315,316,206812.53797480327
316,317,206806.15289683573
317,318,206766.4219156579
318,319,206759.98012684615
319,320,206770.34720866676
320,321,206757.54644987575
321,322,206778.03925405414
322,323,206775.7318334981
323,324,206767.66781912654
324,325,206738.59984915052
325,326,206749.29399347017
326,327,206751.55725483727
327,328,206743.61075082258
328,329,206749.43249995314
329,330,206703.77054117963
330,331,206709.49891890388
331,332,206710.00444619305
332,333,206707.93576960074
333,334,206727.1284355784
334,335,206753.3151309973
335,336,206743.51496587944
336,337,206768.91240550487
337,338,206760.70849017843
338,339,206760.7795663548
339,340,206725.0549795595
340,341,206784.00015562298
341,342,206744.631216898
342,343,206726.06133528848
343,344,206687.2044833904
344,345,206656.19046640932
345,346,206636.01932106385
346,347,206637.5891542958
347,348,206659.9174406207
348,349,206653.49572210954
349,350,206648.60773623805
350,351,206660.66410557088
351,352,206683.79186694516
352,353,206668.97247339468
353,354,206692.8327391856
354,355,206715.07411209075
355,356,206691.08660027393
356,357,206664.63960400005
357,358,206650.73842955352
358,359,206655.6442526138
359,360,206641.89859541444
360,361,206615.29940696305
361,362,206632.28155290635
362,363,206617.05563424656
363,364,206608.6835777547
364,365,206599.06996131883
365,366,206596.21357526674
366,367,206577.18498485783
367,368,206559.98474544164
368,369,206546.63008064975
369,370,206566.5646190705
370,371,206565.06712407194
371,372,206555.5718866974
372,373,206552.95505381466
373,374,206495.33188762094
374,375,206459.0268493701
375,376,206425.24836280994
376,377,206453.5645674164
377,378,206441.36485926723
378,379,206427.62131972887
379,380,206403.14703339088
380,381,206409.55825443426
381,382,206443.6330838809
382,383,206438.9057295639
383,384,206461.45997831467
384,385,206447.84907530545
385,386,206433.4612962085
386,387,206411.36099941868
387,388,206394.62169772742
388,389,206377.17708878362
389,390,206346.5741936533
390,391,206338.52158138689
391,392,206309.97507904135
392,393,206305.91104189007
393,394,206328.01603151183
394,395,206310.21443609116
395,396,206317.7287445053
396,397,206328.3353217691
397,398,206340.7275564151
398,399,206365.4802160097
399,400,206330.2153663412
400,401,206348.41868856747
401,402,206367.19901351593
402,403,206361.60347637767
403,404,206348.34871090544
404,405,206358.73105105344
405,406,206369.6800778665
406,407,206390.30210009436
407,408,206419.84028788834
408,409,206434.24448808067
409,410,206431.52580141887
410,411,206387.34873906523
411,412,206376.99658808444
412,413,206366.46406031924
413,414,206337.60100572358
414,415,206331.0017421108
415,416,206345.18637472342
416,417,206388.09029815232
417,418,206360.4799966997
418,419,206324.86885920158
419,420,206292.9081069555
420,421,206294.34038136082
421,422,206325.25889896316
422,423,206311.72609221406
423,424,206293.0266420968
424,425,206300.01209922624
425,426,206286.70370336832
426,427,206289.2487171192
427,428,206261.2740762653
428,429,206270.763169596
429,430,206266.4163784934
430,431,206269.22983052177
431,432,206248.44985896384
432,433,206231.56921158967
433,434,206223.71643698047
434,435,206240.20769136402
435,436,206218.0346808878
436,437,206208.4626853071
437,438,206208.32312155925
438,439,206184.0931348159
439,440,206204.36966718404
440,441,206164.63632504616
441,442,206172.53017910544
442,443,206164.77687787017
443,444,206150.63458120706
444,445,206152.3347928217
445,446,206115.23449918407
446,447,206123.7389550584
447,448,206144.86403819377
448,449,206159.3015150699
449,450,206211.452329148
450,451,206230.0439355996
451,452,206223.35551154797
452,453,206230.5782192304
453,454,206238.75416430755
454,455,206229.79724558105
455,456,206233.11446835057
456,457,206252.85739610266
457,458,206281.25846373997
458,459,206293.04701189275
459,460,206272.1870014773
460,461,206266.74476528738
461,462,206252.1699071774
462,463,206252.2891463909
463,464,206218.4445902705
464,465,206222.7247191958
465,466,206218.68810331178
466,467,206220.08593746234
467,468,206195.84695902417
468,469,206219.0212770409
469,470,206198.70203430165
470,471,206222.73742395637
471,472,206240.04164300364
472,473,206235.51526659774
473,474,206243.00882060613
474,475,206244.95619763967
475,476,206243.63897642246
476,477,206274.7160770322
477,478,206257.67474402214
478,479,206260.8448254514
479,480,206262.6567117473
480,481,206283.74635769977
481,482,206281.8351512889
482,483,206257.71689562846
483,484,206260.73630145952
484,485,206262.3317262462
485,486,206257.85093394254
486,487,206242.33002942218
487,488,206253.24562601422
488,489,206239.0220455597
489,490,206248.3931313839
490,491,206275.70848457297
491,492,206278.35841374847
492,493,206265.07231909744
493,494,206252.5957175606
494,495,206268.36370503184
495,496,206277.79766383927
496,497,206297.52313405072
497,498,206298.49252657502
498,499,206296.01309266046
